,0
423,32
424,33
425,5
426,1
427,13
428,18
429,6
430,35
431,6
432,21
433,9
434,30
435,0
436,25
437,23
438,8
439,31
440,26
441,1
442,4
443,7
444,7
445,6
446,44
447,7
448,22
449,5
450,43
451,1
452,22
453,26
454,2
455,3
456,24
457,25
458,16
459,28
460,36
461,7
462,3
463,9
464,16
465,19
466,27
467,32
468,17
469,24
470,28
471,6
472,0
473,33
474,5
475,4
476,45
477,8
478,24
479,11
480,17
481,26
482,4
483,4
484,36
485,31
486,2
487,16
488,6
489,3
490,36
491,29
492,29
493,28
494,0
495,16
496,3
497,19
498,27
499,39
500,31
501,28
502,15
503,4
504,3
505,3
506,0
507,7
508,7
509,9
510,2
511,26
512,7
513,7
514,30
515,26
516,31
517,1
518,0
519,15
520,8
521,3
522,11
523,7
524,8
525,20
526,5
527,5
528,0
529,30
530,33
531,37
532,5
533,5
534,8
535,1
536,6
537,33
538,15
539,8
540,47
541,5
542,17
543,31
544,17
545,6
546,32
547,3
548,7
549,6
550,9
551,6
552,33
553,0
554,27
555,12
556,0
557,27
558,8
559,17
560,32
561,2
562,16
563,2
564,0
565,2
566,8
567,5
568,21
569,15
570,15
571,38
572,12
573,26
574,37
575,7
576,38
577,10
578,25
579,16
580,8
581,4
582,16
583,22
584,7
585,3
586,7
587,47
588,2
589,9
590,11
591,1
592,16
593,16
594,8
595,5
596,2
597,0
598,6
599,36
600,42
601,0
602,29
603,34
604,31
605,6
606,31
607,7
608,7
609,3
610,4
611,35
612,1
613,4
614,12
615,27
616,5
617,5
618,9
619,18
620,3
621,27
622,6
623,3
624,35
625,42
626,27
627,28
628,4
629,7
630,4
631,3
632,3
633,22
634,7
635,7
636,36
637,48
638,2
639,7
640,44
641,7
642,14
643,30
644,3
645,9
646,15
647,17
648,2
649,5
650,4
651,11
652,29
653,20
654,15
655,1
656,22
657,28
658,2
659,3
660,2
661,2
662,12
663,25
664,5
665,2
666,3
667,6
668,7
669,16
670,4
671,0
672,11
673,6
674,24
675,28
676,16
677,2
678,1
679,9
680,2
681,27
682,23
683,23
684,9
685,6
686,5
687,35
688,11
689,26
690,8
691,6
692,15
693,9
694,15
695,6
696,34
697,15
698,8
699,9
700,0
701,28
702,26
703,6
704,1
705,32
706,3
707,34
708,17
709,20
710,8
711,5
712,15
713,25
714,36
715,8
716,1
717,9
718,3
719,16
720,3
721,15
722,7
723,8
724,29
725,43
726,6
727,4
728,0
729,0
730,34
731,0
732,1
733,15
734,28
735,7
736,2
737,14
738,5
739,0
740,28
741,21
742,12
743,10
744,28
745,9
746,15
747,6
748,5
749,9
750,32
751,15
752,16
753,28
754,5
755,26
756,5
757,17
758,5
759,32
760,0
761,6
762,6
763,10
764,2
765,1
766,0
767,6
768,6
769,13
770,28
771,28
772,0
773,32
774,42
775,6
776,37
777,3
778,15
779,3
780,31
781,27
782,0
783,19
784,7
785,8
786,2
787,16
788,9
789,8
790,26
791,22
792,28
793,3
794,31
795,37
796,37
797,43
798,37
799,4
800,37
801,3
802,6
803,15
804,12
805,7
806,24
807,31
808,2
809,5
810,28
811,29
812,17
813,2
814,9
815,0
816,8
817,35
818,17
819,3
820,47
821,7
822,37
823,3
824,8
825,32
826,2
827,11
828,15
829,25
830,28
831,8
832,3
833,3
834,15
835,3
836,8
837,12
838,34
839,26
840,8
841,29
842,3
843,1
844,6
845,49
846,23
847,2
848,3
849,1
850,28
851,3
852,15
853,6
854,0
855,14
856,4
857,4
858,29
859,15
860,31
861,6
862,9
863,31
864,6
865,30
866,0
867,7
868,7
869,30
870,24
871,29
872,8
873,8
874,33
875,6
876,7
877,2
878,0
879,24
880,28
881,0
882,4
883,5
884,11
885,15
886,0
887,6
888,16
889,9
890,6
891,26
892,17
893,18
894,8
895,11
896,30
897,4
898,5
899,9
900,31
901,19
902,24
903,23
904,49
905,27
906,0
907,11
908,5
909,21
910,2
911,36
912,6
913,15
914,14
915,28
916,44
917,16
918,16
919,30
920,43
921,15
922,0
923,26
924,27
925,3
926,15
927,0
928,4
929,7
930,15
931,2
932,2
933,29
934,18
935,27
936,36
937,15
938,28
939,8
940,0
941,30
942,7
943,15
944,4
945,5
946,6
947,8
948,45
949,8
950,34
951,24
952,6
953,0
954,1
955,17
956,16
957,6
958,3
959,7
960,6
961,2
962,6
963,16
964,11
965,3
966,4
967,27
968,31
969,37
970,28
971,4
972,5
973,38
974,0
975,28
976,8
977,6
978,4
979,7
980,23
981,17
982,37
983,23
984,2
985,32
986,6
987,6
988,46
989,25
990,41
991,32
992,4
993,27
994,7
995,5
996,16
997,4
998,3
999,4
1000,30
1001,29
1002,34
1003,41
1004,8
1005,2
1006,21
1007,3
1008,21
1009,34
1010,2
1011,27
1012,20
1013,0
1014,28
1015,5
1016,44
1017,2
1018,0
1019,4
1020,2
1021,6
1022,30
1023,9
1024,16
1025,0
1026,47
1027,32
1028,4
1029,5
1030,18
1031,0
1032,4
1033,9
1034,2
1035,27
1036,4
1037,12
1038,33
1039,3
1040,29
1041,1
1042,15
1043,38
1044,27
1045,6
1046,28
1047,8
1048,16
1049,7
1050,3
1051,4
1052,8
1053,2
1054,12
1055,33
1056,2
1057,2
1058,17
1059,5
1060,5
1061,7
1062,17
1063,28
1064,2
1065,10
1066,5
1067,4
1068,37
1069,6
1070,31
1071,5
1072,7
1073,3
1074,40
1075,11
1076,18
1077,40
1078,18
1079,30
1080,35
1081,13
1082,4
1083,4
1084,36
1085,43
1086,22
1087,7
1088,17
1089,30
1090,4
1091,16
1092,13
1093,9
1094,7
1095,14
1096,0
1097,6
1098,4
1099,3
1100,15
1101,16
1102,7
1103,3
1104,5
1105,34
1106,16
1107,7
1108,4
1109,7
1110,33
1111,15
1112,3
1113,15
1114,7
1115,5
1116,1
1117,28
1118,37
1119,5
1120,31
1121,11
1122,1
1123,14
1124,23
1125,7
1126,16
1127,5
1128,14
1129,4
1130,3
1131,3
1132,3
1133,22
1134,0
1135,15
1136,37
1137,7
1138,32
1139,39
1140,3
1141,10
1142,17
1143,26
1144,1
1145,3
1146,27
1147,22
1148,42
1149,28
1150,5
1151,3
1152,5
1153,3
1154,0
1155,5
1156,9
1157,6
1158,6
1159,17
1160,29
1161,18
1162,4
1163,1
1164,30
1165,15
1166,0
1167,5
1168,45
1169,21
1170,12
1171,4
1172,22
1173,39
1174,30
1175,11
1176,8
1177,15
1178,17
1179,5
1180,3
1181,3
1182,37
1183,28
1184,25
1185,5
1186,9
1187,25
1188,4
1189,6
1190,5
1191,1
1192,33
1193,31
1194,7
1195,10
1196,8
1197,32
1198,5
1199,5
1200,21
1201,37
1202,5
1203,3
1204,3
1205,41
1206,0
1207,14
1208,29
1209,1
1210,4
1211,19
1212,2
1213,45
1214,33
1215,21
1216,15
1217,45
1218,37
1219,21
1220,3
1221,37
1222,7
1223,30
1224,7
1225,17
1226,16
1227,3
1228,2
1229,14
1230,38
1231,17
1232,5
1233,0
1234,1
1235,14
1236,36
1237,37
1238,9
1239,22
1240,8
1241,9
1242,25
1243,32
1244,30
1245,6
1246,2
1247,23
1248,22
1249,5
1250,0
1251,33
1252,3
1253,38
1254,32
1255,27
1256,2
1257,6
1258,38
1259,2
1260,0
1261,20
1262,3
1263,14
1264,6
1265,0
1266,2
1267,38
1268,3
1269,31
1270,6
1271,35
1272,40
1273,37
1274,31
1275,5
1276,34
1277,4
1278,19
1279,31
1280,33
1281,37
1282,36
1283,2
1284,6
1285,5
1286,6
1287,10
1288,30
1289,22
1290,4
1291,16
1292,31
1293,26
1294,15
1295,0
1296,6
1297,17
1298,7
1299,0
1300,6
1301,2
1302,12
1303,15
1304,4
1305,0
1306,4
1307,34
1308,15
1309,13
1310,15
1311,31
1312,16
1313,5
1314,4
1315,42
1316,2
1317,28
1318,0
1319,37
1320,6
1321,5
1322,17
1323,13
1324,17
1325,0
1326,4
1327,12
1328,0
1329,1
1330,27
1331,14
1332,9
1333,6
1334,11
1335,17
1336,20
1337,17
1338,25
1339,23
1340,9
1341,19
1342,6
1343,27
1344,4
1345,34
1346,14
1347,7
1348,34
1349,35
1350,3
1351,15
1352,5
1353,12
1354,5
1355,32
1356,20
1357,8
1358,23
1359,9
1360,26
1361,3
1362,6
1363,8
1364,30
1365,41
1366,0
1367,6
1368,3
1369,40
1370,17
1371,16
1372,30
1373,2
1374,4
1375,6
1376,27
1377,7
1378,12
1379,30
1380,33
1381,36
1382,2
1383,26
1384,42
1385,41
1386,5
1387,48
1388,35
1389,23
1390,15
1391,22
1392,31
1393,29
1394,26
1395,2
1396,5
1397,34
1398,21
1399,30
1400,1
1401,3
1402,8
1403,18
1404,34
1405,2
1406,34
1407,5
1408,18
1409,7
1410,1
1411,4
1412,39
1413,44
1414,8
1415,12
1416,5
1417,15
1418,15
1419,21
1420,24
1421,3
1422,27
1423,6
1424,1
1425,30
1426,8
1427,38
1428,14
1429,4
1430,26
1431,16
1432,0
1433,0
1434,20
1435,17
1436,30
1437,6
1438,45
1439,38
1440,10
1441,0
1442,25
1443,27
1444,15
1445,5
1446,4
1447,5
1448,8
1449,4
1450,4
1451,24
1452,6
1453,29
1454,10
1455,3
1456,30
1457,28
1458,2
1459,16
1460,48
1461,8
1462,18
1463,0
1464,3
1465,4
1466,28
1467,33
1468,20
1469,13
1470,8
1471,6
1472,0
1473,23
1474,9
1475,15
1476,3
1477,6
1478,42
1479,3
1480,5
1481,2
1482,16
1483,15
1484,4
1485,15
1486,15
1487,4
1488,5
1489,7
1490,7
1491,11
1492,25
1493,26
1494,28
1495,4
1496,6
1497,2
1498,6
1499,0
1500,33
1501,24
1502,2
1503,15
1504,9
1505,7
1506,9
1507,5
1508,1
1509,31
1510,5
1511,17
1512,34
1513,32
1514,31
1515,1
1516,0
1517,36
1518,30
1519,17
1520,10
1521,17
1522,34
1523,11
1524,34
1525,29
1526,6
1527,2
1528,4
1529,37
1530,17
1531,25
1532,34
1533,16
1534,15
1535,25
1536,4
1537,23
1538,35
1539,10
1540,34
1541,4
1542,15
1543,6
1544,29
1545,29
1546,32
1547,3
1548,0
1549,28
1550,15
1551,7
1552,14
1553,12
1554,16
1555,28
1556,6
1557,28
1558,24
1559,17
1560,28
1561,26
1562,17
1563,5
1564,18
1565,0
1566,30
1567,22
1568,8
1569,29
1570,7
1571,15
1572,30
1573,16
1574,4
1575,0
1576,17
1577,7
1578,2
1579,9
1580,5
1581,2
1582,15
1583,6
1584,27
1585,24
1586,17
1587,13
1588,4
1589,31
1590,6
1591,28
1592,31
1593,32
1594,6
1595,1
1596,3
1597,32
1598,7
1599,38
1600,30
1601,8
1602,36
1603,0
1604,44
1605,31
1606,15
1607,32
1608,0
1609,32
1610,32
1611,16
1612,36
1613,4
1614,4
1615,7
1616,9
1617,1
1618,0
1619,7
1620,0
1621,0
1622,25
1623,14
1624,9
1625,17
1626,16
1627,5
1628,3
1629,8
1630,3
1631,17
1632,3
1633,3
1634,21
1635,0
1636,8
1637,35
1638,30
1639,16
1640,9
1641,17
1642,6
1643,5
1644,13
1645,4
1646,7
1647,15
1648,15
1649,15
1650,32
1651,12
1652,5
1653,31
1654,16
1655,16
1656,0
1657,6
1658,21
1659,6
1660,5
1661,6
1662,15
1663,3
1664,7
1665,15
1666,15
1667,3
1668,25
1669,42
1670,3
1671,7
1672,6
1673,1
1674,17
1675,29
1676,0
1677,26
1678,5
1679,45
1680,24
1681,16
1682,29
1683,15
1684,3
1685,16
1686,30
1687,8
1688,6
1689,15
1690,43
1691,32
1692,35
1693,6
1694,2
1695,4
1696,26
1697,3
1698,12
1699,5
1700,5
1701,16
1702,17
1703,17
1704,26
1705,2
1706,3
1707,29
1708,5
1709,0
1710,34
1711,3
1712,7
1713,0
1714,9
1715,4
1716,3
1717,34
1718,43
1719,7
1720,18
1721,2
1722,8
1723,35
1724,12
1725,24
1726,32
1727,3
1728,7
1729,12
1730,35
1731,29
1732,17
1733,7
1734,36
1735,4
1736,7
1737,7
1738,23
1739,2
1740,30
1741,3
1742,37
1743,6
1744,5
1745,16
1746,36
1747,22
1748,7
1749,4
1750,16
1751,19
1752,19
1753,31
1754,3
1755,5
1756,17
1757,1
1758,4
1759,28
1760,0
1761,10
1762,6
1763,17
1764,6
1765,12
1766,43
1767,25
1768,29
1769,7
1770,9
1771,13
1772,38
1773,7
1774,32
1775,45
1776,21
1777,15
1778,14
1779,8
1780,4
1781,0
1782,17
1783,4
1784,17
1785,9
1786,3
1787,12
1788,3
1789,18
1790,33
1791,5
1792,30
1793,17
1794,15
1795,2
1796,3
1797,16
1798,31
1799,26
1800,4
1801,39
1802,0
1803,37
1804,3
1805,29
1806,0
1807,6
1808,28
1809,2
1810,25
1811,31
1812,8
1813,35
1814,4
1815,2
1816,13
1817,17
1818,15
1819,15
1820,42
1821,3
1822,0
1823,2
1824,0
1825,25
1826,17
1827,3
1828,4
1829,0
1830,32
1831,17
1832,26
1833,42
1834,13
1835,42
1836,15
1837,6
1838,4
1839,30
1840,23
1841,4
1842,29
1843,14
1844,19
1845,2
1846,30
1847,17
1848,3
1849,32
1850,40
1851,25
1852,5
1853,7
1854,3
1855,2
1856,18
1857,5
1858,13
1859,27
1860,25
1861,24
1862,15
1863,17
1864,16
1865,4
1866,1
1867,33
1868,41
1869,7
1870,34
1871,5
1872,25
1873,4
1874,5
1875,35
1876,0
1877,3
1878,8
1879,31
1880,39
1881,3
1882,26
1883,2
1884,16
1885,10
1886,24
1887,6
1888,0
1889,6
1890,17
1891,12
1892,25
1893,15
1894,31
1895,3
1896,10
1897,37
1898,28
1899,37
1900,3
1901,37
1902,5
1903,6
1904,6
1905,12
1906,7
1907,1
1908,26
1909,2
1910,28
1911,16
1912,4
1913,6
1914,40
1915,32
1916,7
1917,28
1918,31
1919,45
1920,30
1921,2
1922,11
1923,3
1924,37
1925,1
1926,6
1927,17
1928,12
1929,4
1930,23
1931,37
1932,17
1933,16
1934,16
1935,0
1936,29
1937,1
1938,15
1939,4
1940,1
1941,15
1942,23
1943,15
1944,0
1945,9
1946,17
1947,6
1948,13
1949,35
1950,23
1951,38
1952,30
1953,29
1954,35
1955,4
1956,20
1957,35
1958,14
1959,45
1960,33
1961,31
1962,8
1963,29
1964,3
1965,2
1966,39
1967,30
1968,3
1969,17
1970,2
1971,35
1972,30
1973,34
1974,5
1975,6
1976,5
1977,10
1978,2
1979,4
1980,9
1981,16
1982,17
1983,29
1984,39
1985,32
1986,24
1987,26
1988,17
1989,2
1990,18
1991,23
1992,15
1993,45
1994,2
1995,14
1996,4
1997,23
1998,1
1999,5
2000,2
2001,12
2002,23
2003,23
2004,43
2005,6
2006,0
2007,0
2008,6
2009,19
2010,5
2011,1
2012,5
2013,9
2014,12
2015,14
2016,8
2017,1
2018,23
2019,35
2020,4
2021,45
2022,9
2023,2
2024,11
2025,18
2026,5
2027,28
2028,30
2029,6
2030,16
2031,34
2032,2
2033,19
2034,5
2035,9
2036,41
2037,5
2038,25
2039,35
2040,3
2041,17
2042,17
2043,2
2044,6
2045,7
2046,21
2047,8
2048,4
2049,31
2050,28
2051,6
2052,42
2053,25
2054,37
2055,1
2056,4
2057,4
2058,9
2059,34
2060,31
2061,6
2062,6
2063,1
2064,19
2065,15
2066,31
2067,25
2068,17
2069,36
2070,31
2071,0
2072,31
2073,5
2074,3
2075,31
2076,31
2077,44
2078,6
2079,14
2080,15
2081,13
2082,1
2083,1
2084,17
2085,15
2086,18
2087,3
2088,17
2089,3
2090,2
2091,5
2092,0
2093,28
2094,5
2095,2
2096,42
2097,29
2098,17
2099,8
2100,16
2101,2
2102,26
2103,30
2104,6
2105,15
2106,30
2107,15
2108,7
2109,5
2110,0
2111,20
2112,34
2113,27
2114,24
2115,27
2116,32
2117,1
2118,6
2119,12
2120,17
2121,0
2122,32
2123,22
2124,29
2125,3
2126,40
2127,7
2128,5
2129,7
2130,39
2131,40
2132,6
2133,16
2134,7
2135,5
2136,29
2137,30
2138,8
2139,5
2140,17
2141,3
2142,0
2143,30
2144,16
2145,35
2146,6
2147,30
2148,0
2149,34
2150,18
2151,32
2152,3
2153,6
2154,16
2155,3
2156,38
2157,12
2158,29
2159,9
2160,16
2161,7
2162,2
2163,29
2164,26
2165,15
2166,32
2167,17
2168,1
2169,0
2170,12
2171,31
2172,36
2173,32
2174,26
2175,11
2176,1
2177,8
2178,7
2179,34
2180,35
2181,5
2182,0
2183,9
2184,20
2185,44
2186,6
2187,7
2188,38
2189,17
2190,41
2191,2
2192,37
2193,10
2194,40
2195,17
2196,28
2197,15
2198,5
2199,9
2200,16
2201,15
2202,7
2203,15
2204,2
2205,32
2206,16
2207,15
2208,12
2209,2
2210,17
2211,4
2212,15
2213,36
2214,10
2215,29
2216,26
2217,34
2218,4
2219,6
2220,10
2221,6
2222,2
2223,15
2224,4
2225,0
2226,3
2227,37
2228,2
2229,37
2230,7
2231,10
2232,22
2233,31
2234,39
2235,6
2236,20
2237,28
2238,2
2239,5
2240,1
2241,35
2242,9
2243,29
2244,6
2245,33
2246,8
2247,28
2248,8
2249,2
2250,24
2251,15
2252,17
2253,4
2254,23
2255,5
2256,5
2257,30
2258,8
2259,32
2260,0
2261,0
2262,5
2263,3
2264,6
2265,8
2266,3
2267,32
2268,1
2269,8
2270,8
2271,32
2272,5
2273,31
2274,0
2275,37
2276,27
2277,3
2278,2
2279,4
2280,4
2281,35
2282,4
2283,0
2284,40
2285,26
2286,8
2287,1
2288,17
2289,33
2290,4
2291,5
2292,0
2293,1
2294,37
2295,25
2296,9
2297,6
2298,0
2299,6
2300,17
2301,13
2302,14
2303,33
2304,7
2305,29
2306,5
2307,6
2308,2
2309,3
2310,3
2311,16
2312,15
2313,30
2314,25
2315,2
2316,3
2317,7
2318,0
2319,31
2320,14
2321,8
2322,1
2323,8
2324,14
2325,16
2326,36
2327,37
2328,25
2329,26
2330,1
2331,41
2332,12
2333,9
2334,8
2335,5
2336,47
2337,2
2338,34
2339,5
2340,36
2341,6
2342,0
2343,4
2344,8
2345,35
2346,7
2347,8
2348,20
2349,2
2350,1
2351,2
2352,17
2353,15
2354,6
2355,30
2356,5
2357,5
2358,33
2359,45
2360,3
2361,9
2362,17
2363,35
2364,5
2365,19
2366,1
2367,21
2368,33
2369,7
2370,42
2371,29
2372,23
2373,6
2374,34
2375,43
2376,7
2377,34
2378,32
2379,27
2380,8
2381,29
2382,40
2383,17
2384,12
2385,33
2386,5
2387,21
2388,2
2389,10
2390,40
2391,34
2392,40
2393,27
2394,34
2395,7
2396,3
2397,27
2398,7
2399,3
2400,6
2401,15
2402,1
2403,7
2404,29
2405,15
2406,6
2407,36
2408,6
2409,1
2410,34
2411,3
2412,9
2413,31
2414,28
2415,15
2416,15
2417,12
2418,29
2419,3
2420,6
2421,5
2422,25
2423,16
2424,33
2425,28
2426,34
2427,5
2428,16
2429,29
2430,4
2431,17
2432,16
2433,1
2434,4
2435,6
2436,16
2437,2
2438,21
2439,6
2440,33
2441,29
2442,6
2443,32
2444,5
2445,0
2446,3
2447,21
2448,27
2449,5
2450,27
2451,26
2452,5
2453,16
2454,30
2455,4
2456,27
2457,17
2458,27
2459,7
2460,17
2461,1
2462,2
2463,29
2464,12
2465,3
2466,24
2467,6
2468,30
2469,3
2470,0
2471,3
2472,7
2473,22
2474,7
2475,15
2476,0
2477,13
2478,4
2479,35
2480,0
2481,16
2482,7
2483,44
2484,22
2485,7
2486,31
2487,7
2488,15
2489,37
2490,6
2491,4
2492,41
2493,15
2494,24
2495,33
2496,32
2497,5
2498,27
2499,6
2500,0
2501,15
2502,32
2503,3
2504,20
2505,5
2506,24
2507,2
2508,33
2509,5
2510,6
2511,17
2512,2
2513,2
2514,17
2515,44
2516,2
2517,17
2518,22
2519,32
2520,33
2521,10
2522,2
2523,13
2524,4
2525,33
2526,26
2527,16
2528,2
2529,5
2530,26
2531,9
2532,16
2533,5
2534,2
2535,30
2536,10
2537,15
2538,20
2539,16
2540,35
2541,0
2542,20
2543,36
2544,31
2545,15
2546,16
2547,27
2548,6
2549,4
2550,5
2551,18
2552,8
2553,32
2554,8
2555,38
2556,31
2557,26
2558,31
2559,31
2560,41
2561,5
2562,2
2563,2
2564,16
2565,30
2566,8
2567,16
2568,32
2569,8
2570,6
2571,29
2572,6
2573,29
2574,29
2575,2
2576,15
2577,21
2578,15
2579,0
2580,41
2581,3
2582,0
2583,4
2584,32
2585,43
2586,7
2587,9
2588,0
2589,5
2590,6
2591,29
2592,27
2593,8
2594,9
2595,17
2596,30
2597,7
2598,7
2599,15
2600,38
2601,16
2602,5
2603,0
2604,23
2605,4
2606,15
2607,29
2608,7
2609,16
2610,13
2611,5
2612,12
2613,8
2614,34
2615,17
2616,2
2617,34
2618,40
2619,15
2620,41
2621,16
2622,9
2623,22
2624,33
2625,30
2626,9
2627,31
2628,33
2629,29
2630,4
2631,27
2632,15
2633,11
2634,34
2635,17
2636,30
2637,17
2638,0
2639,9
2640,7
2641,15
2642,7
2643,32
2644,0
2645,23
2646,12
2647,3
2648,7
2649,6
2650,6
2651,28
2652,4
2653,3
2654,5
2655,8
2656,4
2657,4
2658,5
2659,7
2660,34
2661,33
2662,22
2663,30
2664,42
2665,4
2666,36
2667,0
2668,37
2669,41
2670,33
2671,1
2672,23
2673,0
2674,22
2675,43
2676,46
2677,6
2678,0
2679,15
2680,30
2681,9
2682,11
2683,7
2684,28
2685,2
2686,16
2687,6
2688,0
2689,6
2690,28
2691,23
2692,17
2693,2
2694,39
2695,3
2696,5
2697,40
2698,5
2699,17
2700,29
2701,43
2702,13
2703,0
2704,0
2705,14
2706,33
2707,6
2708,4
2709,18
2710,23
2711,0
2712,27
2713,23
2714,2
2715,8
2716,0
2717,11
2718,21
2719,15
2720,8
2721,3
2722,21
2723,29
2724,6
2725,4
2726,7
2727,2
2728,31
2729,4
2730,28
2731,0
2732,6
2733,17
2734,17
2735,16
2736,15
2737,31
2738,44
2739,14
2740,28
2741,4
2742,29
2743,17
2744,40
2745,31
2746,4
2747,27
2748,7
2749,7
2750,6
2751,4
2752,29
2753,5
2754,5
2755,4
2756,3
2757,6
2758,19
2759,9
2760,17
2761,6
2762,33
2763,4
2764,34
2765,0
2766,3
2767,3
2768,5
2769,17
2770,25
2771,36
2772,2
2773,15
2774,17
2775,24
2776,28
2777,16
2778,17
2779,1
2780,11
2781,7
2782,3
2783,0
2784,6
2785,4
2786,7
2787,16
2788,2
2789,12
2790,5
2791,2
2792,11
2793,4
2794,5
2795,9
2796,8
2797,8
2798,23
2799,2
2800,2
2801,28
2802,8
2803,27
2804,17
2805,17
2806,35
2807,18
2808,2
2809,15
2810,16
2811,3
2812,6
2813,17
2814,46
2815,37
2816,12
2817,27
2818,10
2819,1
2820,14
2821,23
2822,6
2823,41
2824,5
2825,16
2826,0
2827,2
2828,5
2829,17
2830,30
2831,42
2832,0
2833,47
2834,5
2835,17
2836,1
2837,11
2838,5
2839,23
2840,29
2841,16
2842,6
2843,27
2844,22
2845,17
2846,24
2847,8
2848,4
2849,39
2850,29
2851,18
2852,15
2853,2
2854,5
2855,3
2856,5
2857,4
2858,16
2859,15
2860,17
2861,0
2862,14
2863,2
2864,6
2865,16
2866,0
2867,8
2868,5
2869,23
2870,39
2871,25
2872,39
2873,16
2874,17
2875,33
2876,28
2877,1
2878,36
2879,8
2880,15
2881,7
2882,15
2883,35
2884,2
2885,17
2886,28
2887,3
2888,0
2889,8
2890,26
2891,32
2892,19
2893,2
2894,42
2895,33
2896,3
2897,7
2898,3
2899,30
2900,9
2901,7
2902,26
2903,13
2904,8
2905,1
2906,6
2907,3
2908,9
2909,16
2910,8
2911,26
2912,25
2913,33
2914,31
2915,4
2916,4
2917,24
2918,13
2919,26
2920,35
2921,13
2922,27
2923,9
2924,33
2925,7
2926,0
2927,3
2928,0
2929,5
2930,5
2931,7
2932,3
2933,17
2934,4
2935,15
2936,11
2937,13
2938,40
2939,3
2940,15
2941,7
2942,15
2943,16
2944,5
2945,30
2946,35
2947,17
2948,6
2949,36
2950,23
2951,7
2952,7
2953,6
2954,16
2955,4
2956,13
2957,35
2958,3
2959,3
2960,18
2961,16
2962,35
2963,2
2964,30
2965,1
2966,38
2967,0
2968,17
2969,27
2970,27
2971,4
2972,43
2973,17
2974,28
2975,9
2976,16
2977,1
2978,28
2979,20
2980,27
2981,1
2982,2
2983,30
2984,34
2985,27
2986,1
2987,41
2988,0
2989,31
2990,8
2991,15
2992,0
2993,8
2994,0
2995,4
2996,28
2997,15
